model,horizon,mae,rmse,temperature_true,temperature_pred,feels_like_true,feels_like_pred,humidity_true,humidity_pred,wind_speed_true,wind_speed_pred,gust_speed_true,gust_speed_pred,pressure_true,pressure_pred,precipitation_true,precipitation_pred,rain_probability_true,rain_probability_pred,snow_probability_true,snow_probability_pred,uv_index_true,uv_index_pred,dewpoint_true,dewpoint_pred,visibility_true,visibility_pred,cloud_true,cloud_pred,case
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.7,27.37069,28.8,30.213861,70.0,73.2024,9.7,11.501275,8.1,9.256433,1009.0,1006.637,0.0,0.60121584,0.0,32.234547,0.0,0.03193324,6.0,5.4819193,20.9,22.325731,10.0,9.646805,100.0,49.020657,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.9,27.730867,29.0,30.852253,70.0,73.76748,10.1,12.822257,8.4,10.48215,1008.0,1008.6143,0.0,0.5998951,0.0,28.928125,0.0,0.014794484,6.0,5.093625,21.0,22.72169,10.0,9.747463,100.0,46.988956,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.8,27.974302,29.0,31.236326,71.0,74.113106,10.8,13.75296,9.3,11.329497,1007.0,1010.43225,0.0,0.58189183,0.0,24.892168,0.0,0.014812864,6.0,4.8439817,21.1,22.927118,10.0,9.844961,97.0,44.202255,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.8,28.242842,29.1,31.629276,71.0,74.48829,8.6,14.6473055,7.6,12.135867,1007.0,1013.812,0.0,0.56266075,0.0,20.64113,0.0,0.015601434,6.0,4.623885,21.3,23.134928,10.0,9.956512,99.0,41.255466,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.6,28.268389,28.9,31.857065,74.0,75.50841,6.5,14.010968,6.1,11.713965,1008.0,1010.5076,0.0,0.5419202,0.0,35.97079,0.0,0.07711424,6.0,4.6681337,21.6,23.49435,10.0,9.751617,100.0,53.43434,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.3,27.533422,28.7,31.048893,75.0,74.511894,4.3,12.774083,4.2,10.95116,1008.0,989.101,0.0,0.65624714,0.0,47.75378,0.0,0.053857416,0.0,4.6097436,21.6,23.10937,10.0,9.461173,100.0,61.15901,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.3,28.706047,28.7,32.443115,76.0,76.26544,1.8,14.41846,1.8,12.096511,1009.0,1019.1712,0.0,0.5400851,45.0,37.653183,0.0,0.09249385,0.0,4.615985,21.8,23.871918,10.0,9.816421,72.0,55.36168,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.1,28.883492,28.5,32.776527,77.0,76.767265,4.3,14.939438,4.3,12.602929,1010.0,1019.5545,0.01,0.5380039,45.0,38.08193,0.0,0.09653408,0.0,4.445909,21.7,24.122347,10.0,9.82574,85.0,56.04844,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,26.0,28.764753,28.3,32.72875,77.0,76.55776,5.8,15.243331,5.7,12.904458,1011.0,1012.28766,0.04,0.5367866,45.0,36.890156,0.0,0.09606858,0.0,4.285404,21.6,24.088032,10.0,9.772868,58.0,55.114048,weather_test_1
h6_ep30_bs64.pth,6,7.800000190734863,16.108988538041423,25.9,28.985748,28.1,32.899487,77.0,77.14558,6.5,14.811283,6.3,12.501656,1010.0,1023.01074,0.08,0.55060345,45.0,40.247814,0.0,0.097043075,0.0,4.498068,21.6,24.237541,10.0,9.822506,52.0,57.86358,weather_test_1
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,28.5,27.911457,33.3,31.96535,79.0,78.89488,13.0,16.550024,11.8,15.431469,1006.0,1006.9032,0.0,-0.03835094,0.0,22.24084,0.0,-0.011737883,0.0,2.2224793,24.5,24.243193,10.0,10.024808,26.0,43.144672,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,28.3,27.332365,33.0,31.291313,80.0,79.34057,14.4,15.150749,13.4,14.458406,1007.0,1006.3572,1.04,0.33431488,100.0,52.70195,0.0,-0.011203984,6.0,2.505084,24.5,23.912935,9.0,9.659374,72.0,62.2621,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,28.8,27.390316,33.8,31.324331,78.0,79.35101,14.8,14.516601,12.8,13.943666,1008.0,1004.493,1.19,0.3235292,100.0,53.346424,0.0,0.0038517471,6.0,2.5573235,24.7,23.917185,9.0,9.594059,71.0,63.060978,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,29.4,28.071827,34.5,32.01723,74.0,78.923386,16.2,14.049327,13.9,13.257571,1008.0,1007.66156,0.99,-0.020909116,100.0,26.612183,0.0,-0.0008430737,6.0,2.7208047,24.4,24.276335,9.0,9.975415,75.0,47.625977,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,30.3,28.26087,35.3,32.28683,69.0,79.37166,16.2,13.482006,13.1,12.844286,1009.0,1009.4374,0.0,0.024560705,45.0,29.454376,0.0,-0.0017625135,8.0,2.8073444,23.9,24.504707,10.0,9.973395,21.0,50.27223,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,31.1,27.194506,36.4,30.907902,65.0,77.687355,15.8,14.21683,12.8,13.402599,1009.0,991.46356,0.0,0.07344955,0.0,35.292973,0.0,0.016277667,8.0,2.6553428,23.8,23.54663,10.0,9.676285,22.0,51.322617,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,31.7,28.14076,37.4,32.033016,64.0,79.00171,13.7,13.20438,11.2,12.53959,1008.0,1006.6011,0.0,0.0004631728,45.0,29.008293,0.0,0.01019826,8.0,2.9227884,23.9,24.33608,10.0,9.927248,20.0,49.71926,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,31.9,28.610796,37.8,32.766697,63.0,78.98805,15.8,17.064873,13.3,16.3066,1007.0,999.41455,0.02,0.5438595,45.0,60.818787,0.0,0.01069331,7.0,2.5555,24.0,24.931734,10.0,9.41643,73.0,67.35919,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,31.5,28.587383,38.0,32.77438,67.0,78.96059,18.7,17.26905,16.2,16.457245,1007.0,1000.60986,0.49,0.51262975,100.0,59.437664,0.0,0.0092128115,7.0,2.4844508,24.7,24.898819,10.0,9.438991,80.0,66.32217,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,31.1,28.383072,37.3,32.52993,68.0,78.375275,20.5,17.644,18.4,16.682123,1006.0,998.342,0.81,0.47477004,100.0,56.202602,0.0,0.008318294,7.0,2.3708365,24.6,24.635794,10.0,9.437142,73.0,63.619556,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,30.8,28.589773,36.6,32.419193,69.0,76.020874,22.0,20.37925,19.7,18.3298,1006.0,997.2861,1.33,0.28525695,100.0,31.094147,0.0,0.0017854236,7.0,2.2281716,24.5,24.295738,10.0,9.63997,77.0,45.02527,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,30.6,29.04207,36.6,32.912395,71.0,76.51042,21.2,20.415434,19.6,18.12386,1006.0,1013.8955,0.22,0.13753578,100.0,17.894588,0.0,-0.012660043,7.0,2.3067672,24.7,24.464556,9.0,9.960229,83.0,37.20268,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,30.3,28.404568,36.1,32.265488,72.0,75.63438,21.2,19.616432,20.4,17.647285,1006.0,994.6975,0.27,0.22131081,100.0,28.782364,0.0,-0.009061314,7.0,2.1522517,24.7,24.095972,10.0,9.652363,81.0,43.968056,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,29.9,28.371445,35.7,32.577053,75.0,75.91606,23.8,17.256336,23.9,15.985726,1006.0,982.73267,0.41,0.27691466,100.0,36.22325,0.0,-0.021991251,6.0,2.1959765,24.9,24.32682,9.0,9.524127,89.0,51.317574,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,29.6,28.41781,35.5,32.68015,76.0,77.94311,23.4,19.097736,24.1,17.884151,1007.0,1000.18665,0.19,0.39037892,100.0,49.581432,0.0,0.004663749,0.0,1.9396491,25.0,24.611202,9.0,9.543401,84.0,58.623646,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,29.4,28.462881,34.9,32.724808,76.0,78.08626,23.4,19.510012,21.0,18.257751,1008.0,1001.28876,0.56,0.42419523,100.0,50.04639,0.0,0.0056771506,0.0,1.9018921,24.8,24.696619,9.0,9.561621,73.0,58.76554,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,28.7,28.574585,33.7,32.8284,79.0,78.36956,23.0,19.587465,21.7,18.353874,1009.0,1004.348,2.44,0.46552518,100.0,51.885998,0.0,0.0018466366,0.0,1.9722435,24.7,24.804964,9.0,9.580319,82.0,60.038128,weather_test_2
h6_ep50_bs64.pth,6,7.428441047668457,16.133860438119537,28.6,28.924345,33.5,33.38776,80.0,79.16642,23.4,19.368288,25.3,18.34254,1009.0,1003.8362,2.09,0.4752329,100.0,53.86609,0.0,0.015531603,0.0,1.8538097,24.7,25.274586,9.0,9.558124,71.0,62.252636,weather_test_2
h12_ep50_bs64.pth,12,7.828977584838867,16.04994987884016,31.7,28.474758,37.4,33.427715,64.0,73.76383,13.7,15.206594,11.2,13.752515,1008.0,1007.1604,0.0,0.3438221,45.0,38.982464,0.0,0.06328119,8.0,6.880767,23.9,23.526169,10.0,9.198499,20.0,52.44864,weather_test_2
h12_ep50_bs64.pth,12,7.828977584838867,16.04994987884016,31.9,27.971956,37.8,32.64902,63.0,75.778336,15.8,13.924222,13.3,12.869981,1007.0,999.71185,0.02,0.5301652,45.0,56.758892,0.0,0.046701137,7.0,6.226786,24.0,23.593412,10.0,8.81464,73.0,66.24447,weather_test_2
h12_ep50_bs64.pth,12,7.828977584838867,16.04994987884016,31.5,28.02171,38.0,32.822212,67.0,76.28835,18.7,13.449702,16.2,12.641212,1007.0,998.4432,0.49,0.5779235,100.0,61.43984,0.0,0.047414422,7.0,6.1413007,24.7,23.758993,10.0,8.782277,80.0,69.45452,weather_test_2
h12_ep50_bs64.pth,12,7.828977584838867,16.04994987884016,31.1,28.533669,37.3,33.649082,68.0,73.987305,20.5,14.203703,18.4,13.180008,1006.0,1003.402,0.81,0.43939835,100.0,47.27851,0.0,0.0774142,7.0,6.9544,24.6,23.690329,10.0,9.076977,73.0,57.294727,weather_test_2
h12_ep50_bs64.pth,12,7.828977584838867,16.04994987884016,30.8,28.743826,36.6,33.98974,69.0,74.357346,22.0,13.853305,19.7,13.01736,1006.0,1006.0738,1.33,0.47491857,100.0,50.56601,0.0,0.06939095,7.0,7.039171,24.5,23.908354,10.0,9.081602,77.0,59.919296,weather_test_2
